scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Cervus canadensis nannodes,2024-11-09 09:59:23 -0800,,"California, US",34.8232595773,-119.1385046605,,Tule Elk,https://www.inaturalist.org/observations/251119849,https://inaturalist-open-data.s3.amazonaws.com/photos/449265016/medium.jpeg,condor_55,251119849,Tule Elk,Mammalia,566549,0,0,2024-11-09 10:59:23-07:00,2024-11-09,2024-11-09 17:59:23 UTC,Pacific Time (US & Canada),781,28762,,obscured,true,,,7739821,,2024-11-10 03:37:36 UTC,2024-11-10 17:13:36 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2024-11-08 16:02:15 -0800,IDable to subspecies?,"Mendocino County, US-CA, US",39.5360063738,-123.3291301727,,Tule Elk,https://www.inaturalist.org/observations/250987073,https://inaturalist-open-data.s3.amazonaws.com/photos/448997798/medium.jpeg,vireosylva,250987073,Tule Elk,Mammalia,566549,3,0,2024-11-08 16:02:15-08:00,2024-11-08,2024-11-09 00:02:15 UTC,Pacific Time (US & Canada),20,28090,,obscured,true,,,314738,Phoebe Barnes,2024-11-09 03:59:54 UTC,2024-11-10 22:03:06 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2024-10-06 08:59:36 -0700,,"California, US",38.3747693016,-122.991123744,,Tule Elk,https://www.inaturalist.org/observations/250828812,https://inaturalist-open-data.s3.amazonaws.com/photos/448683038/medium.jpeg,ksobon1,250828812,Tule Elk,Mammalia,566549,1,0,2024-10-06 08:59:36-07:00,2024-10-06,2024-10-06 15:59:36 UTC,Pacific Time (US & Canada),4740,28270,,obscured,true,,,40424,,2024-11-07 20:30:51 UTC,2024-11-07 21:49:58 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2023-12-03 15:26:00 -0800,,"California, US",38.1293858172,-122.9436941956,,Tule Elk,https://www.inaturalist.org/observations/250342351,https://inaturalist-open-data.s3.amazonaws.com/photos/447701819/medium.jpeg,iperkin1,250342351,Tule Elk,Mammalia,566549,1,0,2023/12/03 3:26 PM,2023-12-03,2023-12-03 23:26:00 UTC,Pacific Time (US & Canada),15,28300,,obscured,true,,,4269399,,2024-11-03 20:31:06 UTC,2024-11-17 12:08:55 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2023-12-03 11:52:00 -0800,,"California, US",38.0112479623,-122.9899476826,,Tule Elk,https://www.inaturalist.org/observations/250342325,https://inaturalist-open-data.s3.amazonaws.com/photos/447701085/medium.jpeg,iperkin1,250342325,Tule Elk,Mammalia,566549,1,0,2023/12/03 11:52 AM,2023-12-03,2023-12-03 19:52:00 UTC,Pacific Time (US & Canada),61,28300,,obscured,true,,,4269399,,2024-11-03 20:31:00 UTC,2024-11-17 12:08:59 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2023-12-03 11:46:00 -0800,,"California, US",38.1514178393,-122.9204588191,,Tule Elk,https://www.inaturalist.org/observations/250342323,https://inaturalist-open-data.s3.amazonaws.com/photos/447701110/medium.jpeg,iperkin1,250342323,Tule Elk,Mammalia,566549,1,0,2023/12/03 11:46 AM,2023-12-03,2023-12-03 19:46:00 UTC,Pacific Time (US & Canada),31,28300,,obscured,true,,,4269399,,2024-11-03 20:31:00 UTC,2024-11-17 12:09:38 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-02 13:46:59 -0700,,"California, US",38.1169255988,-122.8746590835,,Tule Elk,https://www.inaturalist.org/observations/250214755,https://inaturalist-open-data.s3.amazonaws.com/photos/447445330/medium.jpeg,sammiyo,250214755,Tule Elk,Mammalia,566549,0,0,2024-11-02 13:46:59-07:00,2024-11-02,2024-11-02 20:46:59 UTC,Pacific Time (US & Canada),70,28300,,obscured,true,,,8626520,,2024-11-02 23:32:25 UTC,2024-11-17 12:09:42 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2024-11-01 11:50:57 -0700,,"California, US",38.2108133891,-122.8618716407,,Tule Elk,https://www.inaturalist.org/observations/250103428,https://inaturalist-open-data.s3.amazonaws.com/photos/447221207/medium.jpeg,steinhardt,250103428,Tule Elk,Mammalia,566549,1,0,2024-11-01 11:50:57-07:00,2024-11-01,2024-11-01 18:50:57 UTC,Pacific Time (US & Canada),93,28270,,obscured,true,,,368812,,2024-11-02 06:21:41 UTC,2024-11-17 12:09:54 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2024-10-24 14:43:15 -0700,,"California, US",38.1479820156,-122.9088315634,,Tule Elk,https://www.inaturalist.org/observations/249969730,https://inaturalist-open-data.s3.amazonaws.com/photos/446953467/medium.jpeg,aniandthedeer,249969730,Tule Elk,Mammalia,566549,1,0,2024-10-24 14:43:15,2024-10-24,2024-10-24 21:43:15 UTC,Pacific Time (US & Canada),5249,28300,,obscured,true,gps,gps,5313588,Anika,2024-11-01 05:22:03 UTC,2024-11-01 16:26:36 UTC,research,CC-BY-NC,,2,false
Cervus canadensis nannodes,2024-10-31 17:12:00 -0700,There were four.  I don't often see them in this field.,"California, US",38.1080474346,-122.9269210488,,Tule Elk,https://www.inaturalist.org/observations/249955887,https://inaturalist-open-data.s3.amazonaws.com/photos/446924539/medium.jpeg,lorri-gong,249955887,Tule Elk,Mammalia,566549,0,0,2024/10/31 5:12 PM,2024-10-31,2024-11-01 00:12:00 UTC,Pacific Time (US & Canada),NA,28300,,obscured,true,,,20270,Lorri Gong,2024-11-01 01:53:32 UTC,2024-11-04 18:06:06 UTC,research,CC-BY-NC-ND,,NA,false
Cervus canadensis nannodes,2024-10-03 09:13:16 -0700,,"Monterey County, US-CA, US",36.0574436417,-121.3186638508,,Tule Elk,https://www.inaturalist.org/observations/249785211,https://inaturalist-open-data.s3.amazonaws.com/photos/446585850/medium.jpeg,casti91,249785211,Tule Elk,Mammalia,566549,0,0,Thu Oct 03 2024 09:13:16 GMT -0700 (PDT),2024-10-03,2024-10-03 16:13:16 UTC,Pacific Time (US & Canada),12535,28592,,obscured,true,,,7834258,Jordan Castinado,2024-10-30 18:12:46 UTC,2024-10-30 18:24:56 UTC,research,CC-BY-NC,,333,false
Cervus canadensis nannodes,2024-10-28 09:51:57 -0700,"Hollister, San Benito County, California

Herd by the water.  San Luis Reservoir, Pacheco State Park, Merced County, California

Tule elk can reliably be found in Carrizo Plain National Monument, Point Reyes National Seashore, portions of the Owens Valley from Lone Pine to Bishop, on Coyote Ridge in Santa Clara Valley, San Jose, California and in Pacheco State Park and areas surrounding San Luis Reservoir near Los Banos, California.

https://en.m.wikipedia.org/wiki/Tule_elk","California, US",37.1073652759,-121.240240406,,Tule Elk,https://www.inaturalist.org/observations/249520739,https://static.inaturalist.org/photos/446056329/medium.jpeg,dgrimmphd,249520739,Tule Elk,Mammalia,566549,0,0,2024-10-28 09:51:57,2024-10-28,2024-10-28 16:51:57 UTC,Pacific Time (US & Canada),NA,28447,,obscured,true,,,1490864,,2024-10-28 17:22:22 UTC,2024-10-29 15:31:01 UTC,research,,,2,false
Cervus canadensis nannodes,2024-10-26 17:14:00 -0700,,"Merced County, US-CA, US",37.1255157462,-120.6147618581,,Tule Elk,https://www.inaturalist.org/observations/249433392,https://inaturalist-open-data.s3.amazonaws.com/photos/445883005/medium.jpeg,philipfiorio,249433392,Tule Elk,Mammalia,566549,0,0,2024/10/26 5:14 PM,2024-10-26,2024-10-27 00:14:00 UTC,Pacific Time (US & Canada),NA,28447,,obscured,true,,,4118606,Philip Fiorio,2024-10-28 01:46:32 UTC,2024-11-09 04:45:26 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-10-25 10:27:27 -0700,,"California, US",37.1848246504,-121.0326191161,,Tule Elk,https://www.inaturalist.org/observations/249107736,https://static.inaturalist.org/photos/445240040/medium.jpeg,yaesh,249107736,Tule Elk,Mammalia,566549,0,0,2024-10-25 10:27:27-07:00,2024-10-25,2024-10-25 17:27:27 UTC,Pacific Time (US & Canada),4,28447,,obscured,true,,,427176,,2024-10-26 02:49:17 UTC,2024-11-09 04:46:27 UTC,research,,,3,false
Cervus canadensis nannodes,2024-10-11 00:00:00 -0800,,"California, US",38.0671725536,-122.9585627943,,Tule Elk,https://www.inaturalist.org/observations/248898254,https://static.inaturalist.org/photos/444823370/medium.jpeg,featherglades_77,248898254,Tule Elk,Mammalia,566549,1,0,2024-10-11,2024-10-11,,Pacific Time (US & Canada),595,28300,,obscured,true,gps,gps,6470984,Rachel DiPietro,2024-10-24 16:11:48 UTC,2024-11-17 12:10:04 UTC,research,,,2,false
Cervus canadensis nannodes,2024-10-21 14:07:56 -0700,,"California, US",38.2797167041,-122.952400824,fav obs,Tule Elk,https://www.inaturalist.org/observations/248892526,https://inaturalist-open-data.s3.amazonaws.com/photos/444812858/medium.jpeg,juliawong,248892526,Tule Elk,Mammalia,566549,2,0,2024-10-21 14:07:56-07:00,2024-10-21,2024-10-21 21:07:56 UTC,Pacific Time (US & Canada),4,28270,,obscured,true,,,8007146,Julia Wong,2024-10-24 15:26:13 UTC,2024-11-17 18:52:50 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2024-10-21 14:41:07 -0700,,"California, US",38.3012830914,-122.9237527579,fav obs,Tule Elk,https://www.inaturalist.org/observations/248891927,https://inaturalist-open-data.s3.amazonaws.com/photos/444811969/medium.jpeg,juliawong,248891927,Tule Elk,Mammalia,566549,1,0,2024-10-21 14:41:07-07:00,2024-10-21,2024-10-21 21:41:07 UTC,Pacific Time (US & Canada),4,28270,,obscured,true,,,8007146,Julia Wong,2024-10-24 15:21:56 UTC,2024-11-17 12:10:13 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2024-10-21 14:02:36 -0700,,"California, US",38.3955042319,-122.8160264309,fav obs,Tule Elk,https://www.inaturalist.org/observations/248834071,https://inaturalist-open-data.s3.amazonaws.com/photos/444917951/medium.jpeg,juliawong,248834071,Tule Elk,Mammalia,566549,0,0,2024-10-21 14:02:36-07:00,2024-10-21,2024-10-21 21:02:36 UTC,Pacific Time (US & Canada),4,28270,,obscured,true,,,8007146,Julia Wong,2024-10-24 02:42:55 UTC,2024-10-28 13:37:23 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2022-06-22 16:06:00 -0700,,"California, US",38.2580351832,-122.9735817663,,Tule Elk,https://www.inaturalist.org/observations/248667107,https://inaturalist-open-data.s3.amazonaws.com/photos/444364209/medium.jpeg,katie01,248667107,Tule Elk,Mammalia,566549,2,0,2022-06-22 16:06:00-07:00,2022-06-22,2022-06-22 23:06:00 UTC,Pacific Time (US & Canada),1344,28270,,obscured,true,,,1456654,,2024-10-22 23:08:16 UTC,2024-11-17 12:10:18 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2024-10-20 08:36:18 -0700,Herd of cows,"California, US",38.0838709345,-122.9139506773,,Tule Elk,https://www.inaturalist.org/observations/248406824,https://inaturalist-open-data.s3.amazonaws.com/photos/443841894/medium.jpeg,hllrnnr,248406824,Tule Elk,Mammalia,566549,0,0,2024-10-20 08:36:18-07:00,2024-10-20,2024-10-20 15:36:18 UTC,Pacific Time (US & Canada),4,28300,,obscured,true,,,241923,Chuck Wilson,2024-10-21 05:53:28 UTC,2024-10-21 06:42:55 UTC,research,CC0,,3,false
Cervus canadensis nannodes,2024-10-19 09:26:53 -0700,Young bulls,"California, US",38.2260437742,-122.9878312468,,Tule Elk,https://www.inaturalist.org/observations/248406739,https://inaturalist-open-data.s3.amazonaws.com/photos/443841640/medium.jpeg,hllrnnr,248406739,Tule Elk,Mammalia,566549,2,0,2024-10-19 09:26:53-07:00,2024-10-19,2024-10-19 16:26:53 UTC,Pacific Time (US & Canada),5,28270,,obscured,true,,,241923,Chuck Wilson,2024-10-21 05:52:10 UTC,2024-10-25 01:42:30 UTC,research,CC0,,3,false
Cervus canadensis nannodes,2024-10-19 07:54:14 -0700,,"California, US",38.3070941546,-122.9740659277,,Tule Elk,https://www.inaturalist.org/observations/248406449,https://inaturalist-open-data.s3.amazonaws.com/photos/443840957/medium.jpeg,hllrnnr,248406449,Tule Elk,Mammalia,566549,1,0,2024-10-19 07:54:14-07:00,2024-10-19,2024-10-19 14:54:14 UTC,Pacific Time (US & Canada),4,28270,,obscured,true,,,241923,Chuck Wilson,2024-10-21 05:48:12 UTC,2024-10-22 03:32:39 UTC,research,CC0,,3,false
Cervus canadensis nannodes,2024-10-19 09:12:00 -0700,,"California, US",38.0696193918,-122.9498006891,,Tule Elk,https://www.inaturalist.org/observations/248375209,https://static.inaturalist.org/photos/443776261/medium.jpeg,janeyd,248375209,Tule Elk,Mammalia,566549,2,0,2024/10/19 9:12 AM,2024-10-19,2024-10-19 16:12:00 UTC,Pacific Time (US & Canada),61,28300,,obscured,true,,,770371,Jane Dixon,2024-10-21 00:37:35 UTC,2024-11-17 12:10:57 UTC,research,,,NA,false
Cervus canadensis nannodes,2024-10-20 07:44:00 -0700,,"California, US",38.0612809206,-122.9685368871,,Tule Elk,https://www.inaturalist.org/observations/248370428,https://static.inaturalist.org/photos/443760398/medium.jpeg,goliath_birder,248370428,Tule Elk,Mammalia,566549,3,0,2024/10/20 7:44 AM,2024-10-20,2024-10-20 14:44:00 UTC,Pacific Time (US & Canada),39,28300,,obscured,true,,,6463783,Ross W. Rabkin,2024-10-20 23:58:12 UTC,2024-11-17 12:11:02 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-10-17 14:50:05 -0700,,"California, US",38.0900848645,-122.8399924492,,Tule Elk,https://www.inaturalist.org/observations/247854124,https://inaturalist-open-data.s3.amazonaws.com/photos/442753990/medium.jpeg,ocean_beach_goth,247854124,Tule Elk,Mammalia,566549,0,0,2024-10-17 14:50:05-07:00,2024-10-17,2024-10-17 21:50:05 UTC,Pacific Time (US & Canada),4,28300,,obscured,true,,,398213,LJ Moore-McClelland,2024-10-18 02:29:12 UTC,2024-11-17 12:11:07 UTC,research,CC-BY,,3,false
Cervus canadensis nannodes,2024-10-17 16:03:28 -0700,,"California, US",38.0542103217,-122.8104486459,,Tule Elk,https://www.inaturalist.org/observations/247852970,https://inaturalist-open-data.s3.amazonaws.com/photos/442751874/medium.jpeg,ocean_beach_goth,247852970,Tule Elk,Mammalia,566549,1,0,2024-10-17 16:03:28-07:00,2024-10-17,2024-10-17 23:03:28 UTC,Pacific Time (US & Canada),4,28300,,obscured,true,,,398213,LJ Moore-McClelland,2024-10-18 02:18:16 UTC,2024-11-17 12:11:11 UTC,research,CC-BY,,3,false
Cervus canadensis nannodes,2012-08-09 00:57:00 -0700,,"California, US",38.0821406099,-122.8989070664,,Tule Elk,https://www.inaturalist.org/observations/247609277,https://static.inaturalist.org/photos/442271454/medium.jpeg,denisgrange,247609277,Wapiti de Tule,Mammalia,566549,2,0,2012/08/09 00:57,2012-08-09,2012-08-09 07:57:00 UTC,Pacific Time (US & Canada),61,28300,,obscured,true,,,6444424,Denis,2024-10-16 12:02:16 UTC,2024-10-16 18:42:08 UTC,research,,,NA,false
Cervus canadensis nannodes,2024-10-13 13:10:08 -0700,,"California, US",38.2964290983,-122.8830545169,,Tule Elk,https://www.inaturalist.org/observations/247410586,https://inaturalist-open-data.s3.amazonaws.com/photos/441877054/medium.jpeg,bluevalhalla,247410586,Tule Elk,Mammalia,566549,1,0,2024-10-13 13:10:08,2024-10-13,2024-10-13 20:10:08 UTC,Pacific Time (US & Canada),NA,28270,,obscured,true,gps,gps,336699,Ed Miller,2024-10-15 01:55:02 UTC,2024-11-17 12:11:23 UTC,research,CC-BY-NC,,2,false
Cervus canadensis nannodes,2024-10-12 15:35:57 -0700,,"California, US",38.3948999638,-122.9423875182,,Tule Elk,https://www.inaturalist.org/observations/247252204,https://inaturalist-open-data.s3.amazonaws.com/photos/441559589/medium.jpeg,exidia,247252204,Tule Elk,Mammalia,566549,1,0,2024-10-12 15:35:57,2024-10-12,2024-10-12 22:35:57 UTC,Pacific Time (US & Canada),365,28270,,obscured,true,gps,gps,4667778,,2024-10-14 03:33:40 UTC,2024-10-14 04:20:01 UTC,research,CC-BY-NC,,2,false
Cervus canadensis nannodes,2024-10-09 14:36:00 -0700,"Carrizo Plain
Horrible heat waves--gathering around the water trough...96 degrees F","San Luis Obispo County, US-CA, US",35.0663958062,-119.8747927228,,Tule Elk,https://www.inaturalist.org/observations/247203696,https://static.inaturalist.org/photos/441457637/medium.jpg,naturephotosuze,247203696,Tule Elk,Mammalia,566549,1,0,2024/10/09 2:36 PM,2024-10-09,2024-10-09 21:36:00 UTC,Pacific Time (US & Canada),31,28734,,obscured,true,,,497764,,2024-10-13 21:47:35 UTC,2024-10-13 21:55:47 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-09-04 09:57:23 -0700,,"Kern County, US-CA, US",35.1935637771,-119.1978115286,,Tule Elk,https://www.inaturalist.org/observations/246716455,https://inaturalist-open-data.s3.amazonaws.com/photos/440498870/medium.jpeg,out_west_jess,246716455,Tule Elk,Mammalia,566549,1,0,2024-09-04 09:57:23,2024-09-04,2024-09-04 16:57:23 UTC,Pacific Time (US & Canada),960,28734,,obscured,true,gps,gps,19229,Jess,2024-10-11 02:37:28 UTC,2024-10-11 10:44:04 UTC,research,CC-BY-NC,,2,false
Cervus canadensis nannodes,2019-01-17 15:16:00 -0800,,"California, US",37.9793730301,-122.8413801963,,Tule Elk,https://www.inaturalist.org/observations/246670704,https://inaturalist-open-data.s3.amazonaws.com/photos/440406367/medium.jpeg,donnadugan,246670704,Tule Elk,Mammalia,566549,1,0,2019/01/17 3:16 PM,2019-01-17,2019-01-17 23:16:00 UTC,Pacific Time (US & Canada),31,28329,,obscured,true,,,2075560,Donna L Dugan,2024-10-10 19:42:18 UTC,2024-11-17 12:11:27 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-09-28 00:00:00 -0800,,"California, US",38.1431837602,-122.8209776385,,Tule Elk,https://www.inaturalist.org/observations/246589191,https://inaturalist-open-data.s3.amazonaws.com/photos/440247811/medium.jpeg,vnsankar,246589191,Tule Elk,Mammalia,566549,2,0,2024/09/28,2024-09-28,,Pacific Time (US & Canada),177,28300,,obscured,true,,,63560,Venkat Sankar,2024-10-10 06:51:24 UTC,2024-10-10 11:00:17 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-09-30 15:26:00 -0700,,"San Luis Obispo County, US-CA, US",35.1539946074,-119.9708111648,,Tule Elk,https://www.inaturalist.org/observations/246380452,https://static.inaturalist.org/photos/439832535/medium.jpeg,russnamitz,246380452,Tule Elk,Mammalia,566549,1,0,2024/09/30 3:26 PM,2024-09-30,2024-09-30 22:26:00 UTC,Pacific Time (US & Canada),61,28734,,obscured,true,,,1249080,,2024-10-08 21:22:09 UTC,2024-10-08 22:15:39 UTC,research,,,NA,false
Cervus canadensis nannodes,2024-10-06 14:42:00 -0700,,"California, US",38.011329644,-122.9313526515,,Tule Elk,https://www.inaturalist.org/observations/246270439,https://static.inaturalist.org/photos/439613078/medium.jpg,birdingman,246270439,Tule Elk,Mammalia,566549,1,0,2024/10/06 2:42 PM,2024-10-06,2024-10-06 21:42:00 UTC,Pacific Time (US & Canada),13,28300,,obscured,true,,,839628,Teale Fristoe,2024-10-08 03:37:33 UTC,2024-10-08 04:17:13 UTC,research,CC-BY-NC,,NA,false
